,Unnamed: 0,Grc,Arm,O,Lemma,Gram,Eng
0,1.1,βίβλος ,Գիրք,წიგნი ,წიგნ,N.Nom.Sg,book
1,,,,,,,
2,1.1,λόγων ,բանից,სიტყუათა ,სიტყუა,N.Gen.Pl,word
3,1.1,Τωβὶτ,Տովբիթայ ,ტობისნი [t'obi-sni],ტობი,PN.Gen.Pl.Nom,Tobit
4,,,,,,,
5,,,[T'ovbit-ay],,,,
6,1.1,τοῦ Τωβιὴλ,Տովբեղ՛եայ [T'ovbeł-ˊeay] pr որդւոյ [of son],ტობიელისნი [t'obiel-isni] ,ტობიელ,PN.Gen.Pl.Nom,Tobiel
7,,,,ძისა ,ძე,N.Gen.Sg,son
8,1.1,τοῦ Ἁνανιὴλ, Անանիելեայ [Ananiel-eay] pr որդւոյ [of son],ანანიელისნი [ananiel-isni] ,ანანიელ,PN.Gen.Pl.Nom,Ananiel
9,,,,,,,
10,,,,ძისა [of son] ,ძე,N.Gen.Sg,son
11,1.1,τοῦ Γαβαὴλ, Գաբայեղ՛այ [Gabayełˊ-ay] ,გაბაელისნი [gabael-isni]  ,გაბაელ,PN.Gen.Pl.Nom,Gabael
12,,,,,,,
13,,,pr որդւոյ [of son],,,,
14,,,,ძისა,ძე,N.Gen.Sg,son
15,1.1,τοῦ Ἀδουὴλ,Անաւեղայ [Anaveł-ay] pr որդւոյ [of son],ანაველისნი [anavel-isni]  ,ანაველ,PN.Gen.Pl.Nom,Anavel
16,,,,,,,
17,,,,,,,
18,1.1,ἐκ τοῦ σπέρματος ,՛ի զաւակէ,ნათესავისა-გან ,ნათესავ,N.Gen.Sg-of,relative
19,1.1,Ἀσιὴλ ,Սասիէղ՛այ [Hasiełˊ-ay],ასერისი [aser-isi] ,ასერ,PN.Gen.Sg,Aser
20,1.1,ἐκ τῆς φυλῆς ,յազգէ ,ტომისა-გან ,ტომ,N.Gen.Sg-of,tribe
21,1.1,Νεφθαλείμ,Նեփթաղիմայ [Neptałim-ay],ნეფთალემისნი,ნეფთალემ,PN.Gen.Pl,Nephtalem
22,,,,[neptalem-isni] ,,,
23,,,,,,,
24,,GI,Arm,OGeo,lemma,gram,Eng
25,1.2,ὃς ,Որ ,რომელი ,რომელ,PRON.Nom.Sg,which
26,,,,,,,
27,1.2,ᾐχμαλωτεύθη ,գերեցաւն ,წარ-იტყუჱნა ,ტყუჱნ,PV.V.Aor.S3.Sg,captivate
28,1.2,ἐν ἡμέραις ,յաւուրս ,დღეთა,დღე,N.Dat.Pl,day
29,1.2,Ἐνεμεσσάρου,Ենեմեսարու [Enemesaru],"ენემესარისთა, [enemesar-ista]",ენემესარ,PN.Gen.Pl,Enemessar
30,1.2,τοῦ βασιλέως ,թագաւորին ,მეფისა,მეფე,N.Gen.Sg,king
31,1.2,Ἀσσυρίων,Ասորեստանեայց [Asorest'an-eayc],ასურასტანისათა [asur-ast'anisa] ,ასურასტან,PN.Gen.Pl,Assyria
