,Unnamed: 0,Grc,Arm,O,Lemma,Gram,Eng
0,1.1,βίβλος ,Գիրք,წიგნი ,წიგნ,N.Nom.Sg,book
1,1.1,λόγων ,բանից,სიტყუათა ,სიტყუა,N.Gen.Pl,word
2,1.1,Τωβὶτ,Տովբիթայ ,ტობისნი [t'obi-sni],ტობი,PN.Gen.Pl.Nom,Tobit
3,,,[T'ovbit-ay],,,,
4,1.1,τοῦ Τωβιὴλ,Տովբեղ՛եայ [T'ovbeł-ˊeay] pr որդւոյ [of son],ტობიელისნი [t'obiel-isni] ,ტობიელ,PN.Gen.Pl.Nom,Tobiel
5,,,,ძისა ,ძე,N.Gen.Sg,son
6,1.1,τοῦ Ἁνανιὴλ, Անանիելեայ [Ananiel-eay] pr որդւոյ [of son],ანანიელისნი [ananiel-isni] ,ანანიელ,PN.Gen.Pl.Nom,Ananiel
7,,,,ძისა [of son] ,ძე,N.Gen.Sg,son
8,1.1,τοῦ Γαβαὴλ, Գաբայեղ՛այ [Gabayełˊ-ay] ,გაბაელისნი [gabael-isni]  ,გაბაელ,PN.Gen.Pl.Nom,Gabael
9,,,,,,,
10,,,pr որդւոյ [of son],,,,
11,,,,ძისა,ძე,N.Gen.Sg,son
12,1.1,τοῦ Ἀδουὴλ,Անաւեղայ [Anaveł-ay] pr որդւոյ [of son],ანაველისნი [anavel-isni]  ,ანაველ,PN.Gen.Pl.Nom,Anavel
13,,,,,,,
14,,,,,,,
15,1.1,ἐκ τοῦ σπέρματος ,՛ի զաւակէ,ნათესავისა-გან ,ნათესავ,N.Gen.Sg-of,relative
16,1.1,Ἀσιὴλ ,Սասիէղ՛այ [Hasiełˊ-ay],ასერისი [aser-isi] ,ასერ,PN.Gen.Sg,Aser
17,1.1,ἐκ τῆς φυλῆς ,յազգէ ,ტომისა-გან ,ტომ,N.Gen.Sg-of,tribe
18,1.1,Νεφθαλείμ,Նեփթաղիմայ [Neptałim-ay],ნეფთალემისი,ნეფთალემ,PN.Gen.Sg,Nephtalem
19,1.2,ὃς ,Որ ,რომელი ,რომელ,PRON.Nom.Sg,which
20,,,,,,,
21,1.2,ᾐχμαλωτεύθη ,գերեցաւն ,წარ-იტყუენა ,ტყუენ,PV.V.Aor.S3.Sg,captivate
22,1.2,ἐν ἡμέραις ,յաւուրս ,დღეთა,დღე,N.Dat.Pl,day
23,1.2,Ἐνεμεσσάρου,Ենեմեսարու [Enemesaru],ენემესარისთა [enemesar-ista],ენემესარ,PN.Gen.Pl,Enemessar
