,Unnamed: 0,Grc,Arm,O,Lemma,Gram,Eng
0,5.1,ἐντέταλσαί ,պատուիրեցեր ,მამცნებ,მცნ,V.S2.O1.Sg,order
1,5.1,μοι,ինձ:,"მე, ",მე,PRON.Dat.Sg,I
2,5.1,,,ყოფით,ყოფა,N.Inst.Sg,do
3,5.1,ποιήσω ,արարի՛ց ,ვყო ,ყოფა,V.S1.O3.Sg,do
4,5.2,ἀλλὰ ,Այլ,არამედ ,არამედ,CONJ,but
5,,,,"+ვეცხლისა მისთჳს,",ვეცხლ,N.Gen.Sg,silver
6,,,,რომელ,რომელ,PRON.Abs.Sg,which
7,,,,სთქუ,თქუ,V.S2.Sg,say
8,,,,დავედრებად ,დავედრება,N.ADV.Sg,entrust
9,,,,გაბელის თანა ,გაბელ,PN.Gen,Gabael
10,5.2,πῶς , զիա՞րդ pr ես [I],ვითარ pr და  [and] ,ვითრ,CONJ,as
11,5.2,δυνήσομαι ,կարացից ,ჴელ-ვიწიფო ,ჴელწიფ,V.S1.O3.Sg,able
12,5.2,λαβεῖν ,գտանել,მოღებად ,მოღება,N.Adv.Sg,take
13,5.2,παρ᾽ αὐτοῦ,×,მისგან?,იგი,PRON.Gen.Sg,he
14,5.2,καὶ,×,რამეთუ,რამეთუ,CONJ,since
15,5.2,ἐγὼ,×,მე,მე,PRON.Erg.Sg,I
16,5.2,οὐ,×,არაჲ,არა,PRT,not
17,5.2,γινώσκω,×,ვიცი,ც,V.S1.O3.Sg,know
18,5.2,αὐτόν,×,"იგი,",იგი,PRON.Nom.Sg,he
19,5.2,καὶ,×,და,და,CONJ,and
20,5.2,οὐ,×,არცა  ,არცა,PRT,not
21,5.2,αὐτὸς,×,მან,იგი,PRON.Erg.Sg,he
22,5.2,γινώσκει,×,მიცის ,ც,V.S3.O1.Sg,know
23,5.2,με,×,მე.,მე,PRON.Nom.Sg,I
24,5.2,τί,×,რაჲ,რა,PRON.Nom.Sg,what
25,5.2,σημεῖον,×,სასწაული,სასწაულ,N.Nom.Sg,miracle
26,5.2,δῶ,×,მივსცე ,ც,V.S1.O3.Sg,give
27,5.2,ἀλλὰ ,Այլ,არამედ ,არამედ,CONJ,but
28,5.2,καὶ,×,"+ვეცხლისა მისთჳს,",ვეცხლ,N.Gen.Sg,silver
29,5.2,ἐπιγνῷ,×,რომელ,რომელ,PRON.Abs.Sg,which
30,5.2,καὶ,×,სთქუ,თქუ,V.S2.Sg,say
31,5.2,πιστεύσῃ,×,დავედრებად ,დავედრება,N.ADV.Sg,entrust
32,5.2,μοι,×,გაბელის თანა ,გაბელ,PN.Gen,Gabael
33,5.2,πῶς , զիա՞րդ pr ես [I],ვითარ pr და  [and] ,ვითრ,CONJ,as
34,5.2,δυνήσομαι ,կարացից ,ჴელ-ვიწიფო ,ჴელწიფ,V.S1.O3.Sg,able
35,5.2,λαβεῖν ,գտանել,მოღებად ,მოღება,N.Adv.Sg,take
36,5.2,παρ᾽ αὐτοῦ,×,მისგან?,იგი,PRON.Gen.Sg,he
37,5.2,καὶ,×,რამეთუ,რამეთუ,CONJ,since
38,5.2,ἐγὼ,×,მე,მე,PRON.Erg.Sg,I
39,5.2,οὐ,×,არაჲ,არა,PRT,not
40,5.2,γινώσκω,×,ვიცი,ც,V.S1.O3.Sg,know
41,5.3,ἀποκριθεὶς ,×,მიუგო ,გ,V.S3.O3.Sg,answer
42,5.3,Τωβιθ ,×,ტობი [t'obi] ,ტობი,PN.Nom,Tobit
43,,καὶ,,და,და,CONJ,and
44,5.3,εἶπεν ,×,ჰრქუა,რქუ,V.S3.O3.Sg,tell
45,,,,+ მას: [him],იგი,PRON.Dat.Sg,he
46,5.3,χειρόγραφον ,×,ჴელითწერილი,ჴელითწერილ,N.Nom.Sg,handwritten
47,5.3,ἔδωκεν ,ե՛տ  ,მომცა ,ც,V.S3.O1.O3.Sg,give
48,5.3,μοι,նմա  ,მე ,მე,PRON.Dat.Sg,I
49,,καὶ,×,და ,და,CONJ,and
50,,,,,,,
51,5.3,,,+წარმოვიღე. [I brought],ღ,V.S1.O3.Sg,take
52,5.3,τὸ χειρόγραφον ,զգիր  ,ჴელი იგი წერილი ,ჴელწერილ,N.Nom.Sg,handwritten
53,,,+ առնն [of man],+ჩემი  [my],,,
54,5.3,καὶ ,×,და,ხოლო,CONJ,and
55,,,,+ერთი იგი [the one],ერთ,NUM.Nom.Sg,one
56,5.3,διεῖλον,×,გავყავით,ყ,V.S1.O3.Sg,divide
57,,,,,,,
58,5.3,εἰς δύο,×,ორად,ორ,Num.Adv.Sg,two
59,5.3,καὶ ,×,და ,და,CONJ,and
60,5.3,ἕν ,×,ერთი იგი,ერთ,Num.Nom.Sg,one
61,5.3,ἐλάβομεν,×,წარმოვიღე ,ღ,V.S1.O3.Sg,take
62,5.3,καὶ ,×,და ,და,CONJ,and
63,,,,+ ერთი იგი [the one],ერთ,Num.Nom.Sg,one
64,5.3,ἔθηκα ,×,დავდევ,დ,V.S1.O3.Sg,put
65,5.3,μετὰ τοῦ ἀργυρίου ,×,ვეცხლისა მის თანა,ვეცხლ,N.Dat.Sg,silver
66,5.3,ἰδοὺ ,×,"აჰა ესერა, ",აჰა ესერა,PRT,behold
67,,,,,,,
68,5.3,εἴκοσι ,×,ოცდაექუსი pr ესე [so],ოცდაექუს,NUM.Nom.Sg,twentysix
69,5.3,ἔτη ,×,"წელი + არს, [is]",წელ,N.Nom.Sg,year
70,5.3,ἀφ᾽ οὗ ,որում ,ვინაჲთგან,ვინაჲთგან,CONJ,that
71,5.3,παρεθέμην ,կայր   ,დავჰვედრე,ვედრ,V.S1.O3.Sg,give
72,5.3,τὸ ἀργύριον,գանձն,ვეცხლი იგი. ,ვეცხლ,N.Nom.Sg,silver
73,,,×,და,და,CONJ,and
74,,,յաւանդի ,მისცა ,ც,V.S3.O3.Sg,give
75,,,×,მას,იგი,PRON.Dat.Sg,he
76,,,×,ჴელითწერილი იგი ,ჴელითწერილ,N.Nom.Sg,handwritten
77,,,Եւ  ,და ,და,CONJ,and
78,,,ասէ ,ჰრქუა ,რქუ,V.S3.O3.Sg,tell
79,,,ցնա. ,მას:,იგი,PRON:Dat.Sg,he
80,5.3,τοῦτο,×,"აწ,",აწ,ADV,now
81,5.3,×,×,"შვილო,",შვილ,N.Voc.Sg,son
82,5.3,ζήτησον , Խնդրեա՛ + դու [you],იძიე,ძი,V.S2.O3.Sg,search
83,5.3,σεαυτῷ , քեզ ,ვინ ,ვინ,PRON.Nom.Sg,who
84,5.3,ἄνθρωπον,այր,კაცი ,კაც,N.Nom.Sg,man
85,5.3,πιστόν,×,"სარწმუნოჲ,",სარწმუნო,ADJ.Nom.Sg,trustworthy
86,5.3,ὃς , որ,რომელი ,რომელ,PRON.Nom.Sg,which
87,5.3,πορεύσεται, եկեսցէ՛,მივიდეს ,ვიდ,V.S3.Sg,go
88,5.3,μετὰ σοῦ, ընդ քեզ.,შენ თანა ,შენ,PRON.Dat.Sg,you
89,5.3,δώσομεν,  տաց pr ես,მივსცეთ ,ც,V.S1.O3.Pl,give
90,5.3,αὐτῷ ,նորա`,მას ,იგი,PRON.Dat.Sg,he
91,5.3,μισθόν, զվարձս ,სასყიდელი;,სასყიდელ,N.Nom.Sg,salary
92,,καὶ,,და,და,CONJ,and
93,5.3,πορευθεὶς,1երթիցես  ,წარვედ ,ვედ,V.S2.Sg,go
94,5.3,καὶ , եւ,და ,და,CONJ,and
95,5.3,λαβὲ ,2առցես,მოიღე ,ღ,V.S2.O3.Sg,take
96,5.3,τὸ ἀργύριον,  զարծաթն,"ვეცხლი იგი, ",ვეცხლ,N.Nom.Sg,silver
97,,,,,,,
98,5.3,ἕως , մինչեւ,ვიდრე,ციდრე,CONJ,until
99,,,,მე,,,I
100,5.3,ζῶ ," կենդանիս եմ,",ცოცხალღა +ვარ [am],ცოცხალ,N.Nom.Sg,alive
101,5.4,καὶ , Եւ  ,და ,და,CONJ,and
102,5.4,ἐπορεύθη ,գնաց  ,განვიდა ,ვიდ,V.S3.Sg,go out
103,5.4,Τωβιας,Տուբի  [T'ubi],ტობია [t'obia],ტობია,PN.Nom,Tobia
104,5.4,ζητῆσαι ,խնդրե՛լ  ,ძიებად ,ძი,N.Adv.Sg,search
105,5.4,ἄνθρωπον,×,"კაცისა, ",კაც,N.Gen.Sg,man
106,5.4,ὃς ,×,რომელი ,რომელ,PRON.Nom.Sg,which
107,5.4,πορεύσεται ,×,წარვიდეს ,ვიდ,V.S3.Sg,go
108,5.4,μετ᾽ αὐτοῦ ,ընդ իւր ,მის თანა ,იგი,PRON.Gen.Sg,he
109,5.4,εἰς Μηδίαν ,×,ხუჟიკეთად [xužik'-et-ad],ხუჟიკეთ,PN.Adv,Media
110,5.4,ἐμπειρεῖ ,վարձաւոր:,მეცნიერი ,მეცნიერ,N.Nom.Sg,learned
111,5.4,τῆς ὁδοῦ,×,გზისაჲ.,გზა,N.Gen.Sg,road
112,5.4,καὶ , Եւ  ,და,და,CONJ,and
113,5.4,εὗρεν ,եգի՛տ +նա[he]  ,პოა,პოვ,V.S3.O3.Sg,find
114,5.4,τὸν Ραφαηλ ,զՀռափայէլ  [z-Hṙapayel],"რაფაელ, ",რაფაელ,PN.Abs,Rafael
115,5.4,ἑστηκότα ,×,მდგომარე,მდგომარე,N.Nom.Sg,standing
116,5.4,ἀπέναντι ,×,წინაშე,წინაშე,ADV,before
117,5.4,αὐτοῦ,×,მისსა.,იგი,PRON.Gen,he
118,5.4,καὶ ,եւ+ նա [he],და,და,CONJ,and
119,5.4,οὐκ ,ո՛չ ,არა,არა,PRT,not
120,5.4,ἔγνω,գիտէր +ո՞վ իցէ նա: [who is he],"იცოდა,",ც,V.S3.O3.Sg,know
121,5.4,ὅτι ,×,რამეთუ ,რამეთუ,CONJ,since
122,5.4,ἄγγελος ,×,ანგელოზი ,ანგელოზ,N.Nom.Sg,angel
123,5.4,τοῦ θεοῦ ,×,ღმრთისაჲ ,ღმერთ,N.Gen.Sg,Lord
